,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Jul-2014,,2911.8,2907.0,,1568.6,1563.3,,1343.1,1343.7,,1962.3,1956.9,,1262.1,1259.0,,700.2,697.9,950.1,304.3,645.8,,60.5,60.4,,66.5,66.3,,54.7,54.7,,212.6,208.1,,115.4,114.8,,97.2,93.3,145.0,85.6,59.4,63.2,29.2,33.9,,6.8,6.7,,6.9,6.8,,6.7,6.5,6.9,6.4,7.8,6.2,8.8,5.0,,3124.3,3115.1,,1684.0,1678.1,,1440.3,1437.0,,64.9,64.7,,71.4,71.2,,58.7,58.5,1698.8,680.2,1018.7,4813.9,2358.3,2455.6
Aug-2014,,2909.3,2913.0,,1569.5,1567.9,,1339.8,1345.1,,1977.3,1962.3,,1268.8,1260.6,,708.6,701.7,950.7,307.3,643.4,,60.3,60.4,,66.4,66.4,,54.5,54.7,,211.7,211.2,,112.7,114.4,,98.9,96.8,148.4,89.5,58.9,62.8,24.9,37.9,,6.8,6.8,,6.7,6.8,,6.9,6.7,7.0,6.6,7.7,6.2,7.5,5.6,,3120.9,3124.2,,1682.2,1682.2,,1438.7,1441.9,,64.7,64.8,,71.2,71.2,,58.5,58.6,1698.4,680.1,1018.3,4822.6,2362.3,2460.2
Sep-2014,,2923.1,2911.1,,1577.5,1569.9,,1345.7,1341.1,,1980.1,1967.0,,1271.0,1263.1,,709.0,703.9,944.1,306.9,637.2,,60.5,60.3,,66.7,66.3,,54.6,54.4,,214.5,210.7,,114.2,115.5,,100.3,95.2,144.4,86.8,57.6,66.3,28.7,37.6,,6.8,6.7,,6.8,6.9,,6.9,6.6,6.8,6.4,7.6,6.6,8.6,5.6,,3137.6,3121.8,,1691.7,1685.5,,1446.0,1436.3,,64.9,64.6,,71.5,71.2,,58.7,58.3,1709.4,680.9,1028.5,4831.2,2366.4,2464.8
Oct-2014,,2918.3,2917.7,,1572.5,1570.9,,1345.8,1346.8,,1975.6,1971.6,,1264.1,1261.6,,711.5,710.1,946.1,309.3,636.8,,60.3,60.3,,66.3,66.3,,54.5,54.5,,219.0,206.7,,115.4,110.8,,103.6,95.9,137.9,86.3,51.6,68.8,24.5,44.3,,7.0,6.6,,6.8,6.6,,7.1,6.6,6.5,6.4,6.8,6.8,7.4,6.5,,3137.2,3124.5,,1687.9,1681.7,,1449.4,1442.7,,64.8,64.6,,71.2,71.0,,58.7,58.4,1714.8,688.5,1026.3,4839.3,2370.3,2469.0
Nov-2014,,2920.7,2928.5,,1582.9,1583.2,,1337.8,1345.3,,1975.4,1981.4,,1270.6,1273.5,,704.8,707.9,947.1,309.8,637.3,,60.3,60.4,,66.7,66.7,,54.1,54.4,,211.0,197.3,,114.4,109.4,,96.6,87.9,141.8,88.8,53.0,55.5,20.6,34.9,,6.7,6.3,,6.7,6.5,,6.7,6.1,6.7,6.5,7.0,5.5,6.2,5.2,,3131.7,3125.8,,1697.3,1692.7,,1434.4,1433.1,,64.6,64.5,,71.5,71.3,,58.0,57.9,1721.5,681.4,1040.1,4847.4,2374.1,2473.2
Dec-2014,,2956.6,2988.1,,1589.0,1606.5,,1367.5,1381.6,,1989.3,2024.2,,1285.5,1309.0,,703.8,715.2,963.9,297.4,666.4,,60.9,61.5,,66.8,67.6,,55.2,55.8,,204.1,197.5,,107.3,102.6,,96.8,94.9,137.3,77.9,59.4,60.2,24.7,35.5,,6.5,6.2,,6.3,6.0,,6.6,6.4,6.4,5.6,7.7,5.9,7.7,5.1,,3160.7,3185.6,,1696.3,1709.0,,1464.3,1476.6,,65.1,65.6,,71.3,71.9,,59.1,59.6,1669.8,668.9,1000.9,4855.4,2377.9,2477.5
Jan-2015,,2959.0,2933.3,,1595.4,1590.2,,1363.6,1343.1,,1992.1,1982.9,,1292.9,1290.7,,699.2,692.2,950.4,299.5,650.9,,60.8,60.3,,67.0,66.7,,54.9,54.1,,206.9,224.9,,112.4,122.6,,94.6,102.3,148.4,87.5,60.9,76.5,35.1,41.4,,6.5,7.1,,6.6,7.2,,6.5,7.1,7.0,6.3,8.1,7.4,10.5,6.0,,3166.0,3158.2,,1707.8,1712.8,,1458.2,1445.4,,65.1,64.9,,71.7,71.9,,58.7,58.2,1707.6,670.1,1037.5,4865.8,2382.9,2482.9
Feb-2015,,2983.2,3006.6,,1611.0,1623.1,,1372.2,1383.5,,1994.3,2022.5,,1295.5,1313.0,,698.8,709.5,984.1,310.1,674.0,,61.2,61.7,,67.5,68.0,,55.1,55.6,,186.3,201.9,,98.5,104.4,,87.9,97.5,128.2,74.5,53.7,73.7,29.9,43.8,,5.9,6.3,,5.8,6.0,,6.0,6.6,6.0,5.4,7.0,7.0,8.8,6.1,,3169.5,3208.5,,1709.5,1727.5,,1460.0,1481.0,,65.0,65.8,,71.6,72.3,,58.7,59.5,1667.7,660.5,1007.3,4876.2,2387.9,2488.3
Mar-2015,,2983.6,2985.7,,1616.2,1619.3,,1367.4,1366.3,,1996.6,2001.6,,1301.5,1302.9,,695.1,698.8,984.0,316.4,667.6,,61.1,61.1,,67.5,67.7,,54.8,54.8,,198.3,212.0,,103.5,108.4,,94.9,103.6,131.5,78.3,53.3,80.5,30.1,50.3,,6.2,6.6,,6.0,6.3,,6.5,7.0,6.2,5.7,7.1,7.6,8.7,7.0,,3182.0,3197.7,,1719.7,1727.7,,1462.3,1469.9,,65.1,65.4,,71.9,72.2,,58.6,58.9,1689.0,665.2,1023.8,4886.6,2392.9,2493.7
Apr-2015,,2986.7,2984.2,,1606.0,1605.8,,1380.7,1378.4,,1997.1,1988.9,,1302.9,1296.2,,694.2,692.8,995.3,309.6,685.6,,61.0,61.0,,67.0,67.0,,55.3,55.2,,196.3,200.5,,103.9,104.5,,92.4,96.0,124.6,70.7,53.9,75.9,33.9,42.1,,6.2,6.3,,6.1,6.1,,6.3,6.5,5.9,5.2,7.2,7.1,9.9,5.8,,3183.0,3184.7,,1709.9,1710.3,,1473.0,1474.3,,65.0,65.1,,71.4,71.4,,59.0,59.0,1709.3,686.1,1023.3,4894.0,2396.4,2497.6
May-2015,,2989.5,3002.2,,1612.2,1618.0,,1377.4,1384.1,,1983.2,1982.2,,1296.6,1294.0,,686.6,688.3,1019.9,324.1,695.9,,61.0,61.3,,67.2,67.4,,55.1,55.3,,189.9,185.7,,95.3,91.3,,94.6,94.4,118.4,64.9,53.5,67.3,26.4,41.0,,6.0,5.8,,5.6,5.3,,6.4,6.4,5.6,4.8,7.2,6.2,7.5,5.6,,3179.4,3187.8,,1707.5,1709.3,,1471.9,1478.5,,64.9,65.0,,71.2,71.2,,58.8,59.1,1713.5,690.5,1023.0,4901.4,2399.8,2501.5
Jun-2015,,2981.9,2990.4,,1610.4,1615.4,,1371.5,1375.1,,1976.9,1968.9,,1293.2,1288.1,,683.6,680.8,1021.5,327.3,694.3,,60.7,60.9,,67.0,67.2,,54.7,54.9,,191.1,181.8,,95.0,88.9,,96.2,93.0,119.4,66.5,52.9,62.5,22.4,40.1,,6.0,5.7,,5.6,5.2,,6.6,6.3,5.7,4.9,7.2,5.8,6.4,5.5,,3173.0,3172.2,,1705.4,1704.2,,1467.7,1468.0,,64.6,64.6,,71.0,70.9,,58.6,58.6,1736.5,699.1,1037.4,4908.7,2403.3,2505.4
Jul-2015,,2997.0,2992.2,,1624.0,1619.3,,1373.0,1372.9,,2000.0,1996.3,,1309.7,1307.0,,690.2,689.3,995.9,312.3,683.6,,60.9,60.8,,67.5,67.3,,54.7,54.7,,202.6,198.6,,95.0,94.7,,107.6,104.0,138.4,75.0,63.4,60.2,19.6,40.6,,6.3,6.2,,5.5,5.5,,7.3,7.0,6.5,5.4,8.4,5.7,5.9,5.6,,3199.6,3190.8,,1718.9,1714.0,,1480.6,1476.9,,65.1,64.9,,71.4,71.2,,59.0,58.8,1727.0,693.7,1033.4,4917.9,2407.6,2510.3
Aug-2015,,2981.9,2960.4,,1612.2,1601.2,,1369.7,1359.1,,1980.4,1960.9,,1297.3,1289.0,,683.1,671.9,999.5,312.2,687.3,,60.5,60.1,,66.8,66.4,,54.5,54.0,,187.3,188.9,,91.7,94.4,,95.7,94.5,130.6,73.5,57.1,58.4,21.0,37.4,,5.9,6.0,,5.4,5.6,,6.5,6.5,6.2,5.4,7.8,5.5,6.3,5.2,,3169.2,3149.3,,1703.9,1695.7,,1465.3,1453.7,,64.3,63.9,,70.6,70.3,,58.3,57.8,1777.7,716.3,1061.4,4927.0,2411.9,2515.1
Sep-2015,,2990.0,2977.6,,1612.9,1605.0,,1377.1,1372.6,,1992.4,1978.0,,1298.1,1289.9,,694.3,688.1,999.5,315.1,684.5,,60.6,60.3,,66.8,66.4,,54.6,54.5,,200.8,197.2,,107.9,109.1,,92.9,88.1,132.0,81.8,50.2,65.1,27.2,37.9,,6.3,6.2,,6.3,6.4,,6.3,6.0,6.3,6.0,6.8,6.1,8.0,5.2,,3190.8,3174.7,,1720.7,1714.1,,1470.1,1460.7,,64.6,64.3,,71.2,70.9,,58.3,58.0,1761.5,702.2,1059.2,4936.2,2416.3,2519.9
Oct-2015,,3021.0,3019.2,,1632.1,1629.4,,1389.0,1389.7,,2003.6,1998.6,,1308.8,1306.4,,694.8,692.1,1020.6,323.0,697.6,,61.1,61.1,,67.4,67.3,,55.0,55.0,,182.4,171.6,,96.0,91.8,,86.4,79.8,115.8,70.2,45.6,55.8,21.6,34.2,,5.7,5.4,,5.6,5.3,,5.9,5.4,5.5,5.1,6.2,5.2,6.3,4.7,,3203.4,3190.7,,1728.1,1721.2,,1475.3,1469.5,,64.8,64.5,,71.4,71.1,,58.4,58.2,1754.7,699.5,1055.2,4945.4,2420.7,2524.8
Nov-2015,,3026.1,3034.8,,1627.6,1628.1,,1398.5,1406.7,,2018.3,2024.8,,1313.9,1316.9,,704.4,707.8,1010.0,311.2,698.8,,61.1,61.3,,67.1,67.1,,55.3,55.6,,200.5,188.0,,107.6,103.4,,92.9,84.6,127.6,76.7,50.9,60.5,26.7,33.8,,6.2,5.8,,6.2,6.0,,6.2,5.7,5.9,5.5,6.7,5.6,7.9,4.6,,3226.6,3222.8,,1735.3,1731.5,,1491.3,1491.3,,65.1,65.0,,71.6,71.4,,59.0,59.0,1731.9,693.6,1038.3,4954.7,2425.1,2529.6
Dec-2015,,3013.6,3046.9,,1641.6,1659.4,,1372.0,1387.5,,2037.8,2075.7,,1331.0,1355.6,,706.8,720.1,971.2,303.8,667.5,,60.7,61.4,,67.6,68.3,,54.1,54.7,,192.5,186.6,,98.8,94.8,,93.7,91.8,124.1,68.5,55.6,62.5,26.3,36.2,,6.0,5.8,,5.7,5.4,,6.4,6.2,5.6,4.8,7.2,6.0,8.0,5.1,,3206.1,3233.5,,1740.4,1754.2,,1465.7,1479.3,,64.6,65.1,,71.6,72.2,,57.8,58.4,1730.3,675.3,1055.1,4963.9,2429.5,2534.4
Jan-2016,,3009.1,2980.8,,1630.2,1623.3,,1378.8,1357.5,,2034.2,2021.7,,1317.2,1312.8,,717.0,708.9,959.2,310.6,648.6,,60.5,59.9,,66.9,66.6,,54.3,53.4,,203.6,221.9,,106.0,116.5,,97.5,105.4,153.6,88.8,64.8,68.3,27.7,40.6,,6.3,6.9,,6.1,6.7,,6.6,7.2,7.1,6.3,8.4,6.6,8.2,5.9,,3212.6,3202.7,,1736.3,1739.8,,1476.4,1462.9,,64.6,64.4,,71.3,71.4,,58.1,57.6,1773.5,695.8,1077.7,4976.2,2435.6,2540.7
Feb-2016,,3055.1,3078.5,,1658.3,1670.7,,1396.8,1407.8,,2046.3,2075.1,,1324.2,1341.9,,722.1,733.1,1003.4,328.8,674.6,,61.2,61.7,,67.9,68.4,,54.8,55.3,,187.2,203.0,,100.4,106.5,,86.8,96.5,133.7,75.6,58.1,69.3,30.9,38.4,,5.8,6.2,,5.7,6.0,,5.8,6.4,6.1,5.3,7.3,6.5,8.6,5.4,,3242.3,3281.5,,1758.7,1777.3,,1483.5,1504.2,,65.0,65.8,,72.0,72.8,,58.2,59.1,1707.1,664.5,1042.6,4988.6,2441.7,2546.9
Mar-2016,,3061.7,3063.6,,1660.6,1664.2,,1401.1,1399.4,,2064.6,2071.4,,1337.6,1339.8,,727.0,731.7,992.1,324.4,667.7,,61.2,61.3,,67.8,68.0,,54.9,54.8,,183.3,195.4,,94.5,98.4,,88.8,97.0,129.2,69.2,60.0,66.3,29.3,37.0,,5.6,6.0,,5.4,5.6,,6.0,6.5,5.9,4.9,7.6,6.3,8.3,5.3,,3245.0,3259.0,,1755.1,1762.6,,1489.9,1496.4,,64.9,65.2,,71.7,72.0,,58.4,58.6,1742.0,685.2,1056.8,5000.9,2447.8,2553.1
Apr-2016,,3065.8,3063.5,,1668.9,1668.4,,1396.8,1395.0,,2053.2,2044.9,,1335.9,1328.3,,717.3,716.6,1018.6,340.1,678.4,,61.2,61.1,,68.1,68.0,,54.6,54.5,,179.9,184.4,,88.9,89.4,,91.0,94.9,117.9,65.0,52.9,66.4,24.4,42.0,,5.5,5.7,,5.1,5.1,,6.1,6.4,5.5,4.7,6.9,6.1,6.7,5.8,,3245.7,3247.8,,1757.8,1757.8,,1487.9,1490.0,,64.8,64.8,,71.7,71.7,,58.2,58.3,1762.0,694.2,1067.7,5009.8,2452.1,2557.7
May-2016,,3070.0,3084.0,,1669.8,1676.9,,1400.2,1407.1,,2080.9,2078.7,,1341.4,1339.2,,739.5,739.5,1005.3,337.7,667.6,,61.2,61.5,,68.0,68.3,,54.6,54.9,,191.2,185.9,,94.3,89.4,,97.0,96.5,121.7,64.2,57.5,64.2,25.2,39.0,,5.9,5.7,,5.3,5.1,,6.5,6.4,5.5,4.6,7.2,6.0,6.9,5.5,,3261.3,3269.9,,1764.0,1766.3,,1497.2,1503.6,,65.0,65.2,,71.8,71.9,,58.4,58.7,1748.8,690.0,1058.7,5018.7,2456.4,2562.3
Jun-2016,,3099.5,3108.5,,1681.0,1686.4,,1418.5,1422.1,,2103.5,2094.5,,1359.2,1353.9,,744.3,740.6,1014.1,332.5,681.5,,61.6,61.8,,68.3,68.5,,55.3,55.4,,186.2,177.3,,91.6,86.0,,94.6,91.2,112.3,64.9,47.4,65.0,21.1,43.9,,5.7,5.4,,5.2,4.9,,6.2,6.0,5.1,4.6,6.0,6.0,6.0,6.0,,3285.6,3285.8,,1772.6,1772.5,,1513.0,1513.3,,65.4,65.4,,72.0,72.0,,58.9,59.0,1741.8,688.2,1053.6,5027.6,2460.6,2566.9
Jul-2016,,3109.1,3104.4,,1680.3,1676.5,,1428.7,1427.9,,2101.6,2099.9,,1352.9,1350.7,,748.6,749.2,1004.5,325.7,678.7,,61.7,61.6,,68.2,68.0,,55.5,55.5,,192.0,188.9,,95.8,95.4,,96.2,93.5,121.1,71.3,49.8,67.8,24.1,43.7,,5.8,5.7,,5.4,5.4,,6.3,6.1,5.5,5.0,6.2,6.3,6.9,6.0,,3301.1,3293.3,,1776.1,1771.9,,1524.9,1521.4,,65.5,65.4,,72.0,71.9,,59.3,59.1,1744.4,693.7,1050.8,5037.7,2465.6,2572.1
Aug-2016,,3124.2,3101.4,,1684.6,1672.7,,1439.6,1428.7,,2104.2,2082.1,,1358.9,1349.7,,745.3,732.3,1019.4,323.0,696.4,,61.9,61.4,,68.2,67.7,,55.9,55.4,,181.6,184.0,,100.5,103.7,,81.2,80.4,119.8,74.9,44.9,64.2,28.7,35.5,,5.5,5.6,,5.6,5.8,,5.3,5.3,5.4,5.3,5.8,5.9,8.2,4.8,,3305.8,3285.4,,1785.0,1776.3,,1520.8,1509.1,,65.5,65.1,,72.3,71.9,,59.0,58.6,1762.3,694.1,1068.2,5047.8,2470.5,2577.3
Sep-2016,,3111.9,3098.3,,1675.4,1666.9,,1436.5,1431.5,,2080.7,2064.9,,1343.2,1334.7,,737.5,730.2,1033.4,332.1,701.3,,61.5,61.3,,67.7,67.3,,55.6,55.4,,191.4,187.3,,99.5,100.4,,91.9,86.9,127.1,72.8,54.3,60.2,27.5,32.6,,5.8,5.7,,5.6,5.7,,6.0,5.7,5.8,5.2,6.9,5.5,7.7,4.4,,3303.3,3285.6,,1774.9,1767.2,,1528.4,1518.4,,65.3,65.0,,71.7,71.4,,59.2,58.8,1772.3,708.2,1064.1,5057.9,2475.4,2582.5
Oct-2016,,3146.4,3143.6,,1698.6,1695.0,,1447.8,1448.6,,2088.9,2081.8,,1359.3,1357.0,,729.5,724.7,1061.8,338.0,723.8,,62.1,62.0,,68.5,68.3,,56.0,56.0,,195.1,183.2,,107.0,101.9,,88.1,81.2,129.0,78.3,50.6,54.2,23.6,30.6,,5.8,5.5,,5.9,5.7,,5.7,5.3,5.8,5.5,6.5,4.9,6.5,4.1,,3341.5,3326.7,,1805.6,1797.0,,1535.9,1529.8,,65.9,65.7,,72.8,72.5,,59.4,59.1,1740.6,683.2,1057.4,5067.3,2480.2,2587.1
Nov-2016,,3130.9,3140.4,,1684.5,1685.2,,1446.5,1455.3,,2104.6,2111.4,,1363.9,1367.3,,740.7,744.2,1029.0,317.9,711.1,,61.7,61.9,,67.8,67.8,,55.8,56.1,,203.0,190.4,,104.3,100.5,,98.6,89.9,133.5,80.5,53.0,56.9,20.0,36.9,,6.1,5.7,,5.8,5.6,,6.4,5.8,5.9,5.6,6.6,5.2,5.9,4.9,,3333.9,3330.8,,1788.8,1785.6,,1545.1,1545.2,,65.7,65.6,,72.0,71.9,,59.6,59.6,1746.0,699.3,1046.6,5076.8,2485.0,2591.8
Dec-2016,,3149.1,3185.1,,1693.5,1711.7,,1455.5,1473.4,,2116.8,2158.8,,1365.8,1391.1,,751.1,767.7,1026.2,320.5,705.7,,61.9,62.6,,68.0,68.7,,56.1,56.7,,204.5,198.4,,111.2,107.1,,93.3,91.4,138.4,77.5,60.8,60.1,29.6,30.5,,6.1,5.9,,6.2,5.9,,6.0,5.8,6.0,5.3,7.3,5.5,8.4,4.1,,3353.5,3383.5,,1804.7,1818.7,,1548.8,1564.8,,65.9,66.5,,72.5,73.0,,59.6,60.3,1702.7,671.0,1031.8,5086.2,2489.7,2596.5
Jan-2017,,3141.5,3109.1,,1679.4,1669.7,,1462.1,1439.4,,2109.7,2092.1,,1367.4,1359.7,,742.3,732.4,1017.0,309.9,707.0,,61.6,61.0,,67.3,66.9,,56.2,55.3,,192.4,210.2,,100.5,110.7,,91.9,99.5,144.1,85.0,59.1,66.1,25.7,40.4,,5.8,6.3,,5.6,6.2,,5.9,6.5,6.4,5.9,7.5,6.1,7.7,5.4,,3333.9,3319.3,,1779.8,1780.4,,1554.0,1538.9,,65.4,65.1,,71.3,71.3,,59.7,59.1,1780.5,716.3,1064.2,5099.8,2496.7,2603.1
Feb-2017,,3169.0,3192.4,,1701.2,1714.0,,1467.7,1478.4,,2117.4,2147.0,,1370.9,1389.1,,746.5,757.9,1045.4,324.9,720.5,,62.0,62.4,,67.9,68.5,,56.2,56.6,,198.7,216.0,,98.3,104.6,,100.3,111.4,148.5,76.9,71.6,67.5,27.7,39.8,,5.9,6.3,,5.5,5.8,,6.4,7.0,6.5,5.2,8.6,6.1,7.9,5.2,,3367.6,3408.4,,1799.6,1818.6,,1568.0,1589.8,,65.9,66.7,,71.9,72.6,,60.1,60.9,1705.1,685.1,1020.0,5113.4,2503.7,2609.8
Mar-2017,,3172.7,3174.7,,1696.9,1700.7,,1475.8,1473.9,,2130.1,2137.6,,1369.7,1372.2,,760.4,765.4,1037.1,328.5,708.5,,61.9,61.9,,67.6,67.7,,56.4,56.3,,209.3,222.8,,105.0,109.0,,104.3,113.8,154.0,82.7,71.3,68.8,26.3,42.5,,6.2,6.6,,5.8,6.0,,6.6,7.2,6.7,5.7,8.5,6.2,7.4,5.7,,3382.1,3397.4,,1801.9,1809.7,,1580.1,1587.7,,66.0,66.3,,71.8,72.1,,60.4,60.7,1729.6,700.9,1028.7,5127.0,2510.7,2616.4
Apr-2017,,3195.2,3192.8,,1713.6,1712.9,,1481.6,1479.9,,2126.1,2117.4,,1372.4,1364.1,,753.7,753.3,1075.4,348.9,726.6,,62.2,62.2,,68.1,68.1,,56.5,56.5,,207.7,212.9,,102.2,102.8,,105.5,110.2,143.8,79.2,64.6,69.1,23.5,45.6,,6.1,6.3,,5.6,5.7,,6.6,6.9,6.4,5.5,7.9,6.0,6.3,5.9,,3402.9,3405.7,,1815.7,1815.7,,1587.1,1590.0,,66.3,66.3,,72.2,72.2,,60.6,60.7,1729.2,698.9,1030.3,5134.9,2514.6,2620.4
May-2017,,3198.3,3213.9,,1712.2,1720.2,,1486.1,1493.7,,2155.0,2151.7,,1388.2,1386.5,,766.8,765.2,1062.2,333.7,728.6,,62.2,62.5,,68.0,68.3,,56.6,56.9,,206.5,199.8,,104.5,98.6,,102.0,101.2,133.0,72.3,60.7,66.8,26.3,40.5,,6.1,5.9,,5.8,5.4,,6.4,6.3,5.8,5.0,7.4,5.9,7.3,5.3,,3404.8,3413.8,,1816.7,1818.8,,1588.1,1595.0,,66.2,66.4,,72.1,72.2,,60.5,60.8,1729.0,699.7,1029.3,5142.8,2518.5,2624.3
Jun-2017,,3205.7,3214.6,,1720.4,1725.9,,1485.3,1488.7,,2173.8,2164.2,,1404.7,1399.4,,769.1,764.8,1050.4,326.4,723.9,,62.2,62.4,,68.2,68.4,,56.5,56.6,,201.2,191.4,,103.1,96.9,,98.1,94.6,134.7,79.8,54.9,56.7,17.1,39.6,,5.9,5.6,,5.7,5.3,,6.2,6.0,5.9,5.4,6.7,5.1,5.0,5.2,,3406.9,3406.0,,1823.5,1822.7,,1583.4,1583.3,,66.1,66.1,,72.3,72.3,,60.2,60.2,1744.6,699.7,1045.0,5150.7,2522.4,2628.2
Jul-2017,,3203.6,3199.2,,1718.3,1715.4,,1485.3,1483.8,,2158.2,2158.2,,1387.7,1385.9,,770.5,772.3,1041.0,329.5,711.5,,62.1,62.0,,68.0,67.9,,56.4,56.3,,206.4,203.6,,102.3,102.0,,104.0,101.6,136.4,78.0,58.4,67.2,24.0,43.2,,6.1,6.0,,5.6,5.6,,6.5,6.4,5.9,5.3,7.0,6.1,6.8,5.7,,3410.0,3402.8,,1820.6,1817.4,,1589.4,1585.4,,66.1,65.9,,72.0,71.9,,60.4,60.2,1758.0,710.0,1048.0,5160.8,2527.4,2633.3
Aug-2017,,3224.7,3201.4,,1725.5,1713.3,,1499.2,1488.2,,2175.9,2152.7,,1394.6,1385.0,,781.4,767.8,1048.7,328.3,720.4,,62.4,61.9,,68.1,67.7,,56.8,56.4,,207.3,209.7,,102.3,105.7,,105.0,104.0,144.6,81.6,63.0,65.1,24.1,40.9,,6.0,6.1,,5.6,5.8,,6.5,6.5,6.3,5.6,7.6,5.8,6.8,5.4,,3432.0,3411.1,,1827.8,1819.0,,1604.2,1592.1,,66.4,66.0,,72.2,71.8,,60.8,60.3,1759.8,713.5,1046.3,5170.9,2532.4,2638.4
Sep-2017,,3233.4,3219.0,,1721.1,1712.0,,1512.3,1506.9,,2165.1,2148.2,,1386.6,1377.8,,778.6,770.4,1070.8,334.2,736.6,,62.4,62.1,,67.8,67.5,,57.2,57.0,,206.6,201.6,,106.9,107.7,,99.8,94.0,137.9,78.8,59.0,63.8,28.8,35.0,,6.0,5.9,,5.8,5.9,,6.2,5.9,6.0,5.4,7.1,5.6,7.9,4.5,,3440.0,3420.6,,1827.9,1819.7,,1612.1,1600.9,,66.4,66.0,,72.0,71.7,,61.0,60.6,1760.3,717.7,1042.6,5181.0,2537.4,2643.6
Oct-2017,,3225.0,3220.9,,1725.1,1720.5,,1499.9,1500.4,,2171.5,2162.2,,1387.0,1384.8,,784.4,777.5,1058.7,335.8,722.9,,62.1,62.1,,67.9,67.7,,56.7,56.7,,197.2,184.4,,98.0,93.2,,99.2,91.2,125.5,70.1,55.5,58.9,23.2,35.7,,5.8,5.4,,5.4,5.1,,6.2,5.7,5.5,4.8,6.7,5.3,6.5,4.7,,3422.2,3405.3,,1823.2,1813.8,,1599.0,1591.5,,65.9,65.6,,71.7,71.4,,60.4,60.1,1783.8,727.8,1056.0,5189.1,2541.5,2647.6
Nov-2017,,3243.8,3254.2,,1735.3,1736.4,,1508.5,1517.7,,2185.4,2191.5,,1397.8,1401.1,,787.6,790.4,1062.6,335.3,727.3,,62.4,62.6,,68.2,68.2,,56.9,57.2,,188.0,176.3,,87.6,84.6,,100.4,91.8,110.0,59.8,50.2,66.3,24.7,41.6,,5.5,5.1,,4.8,4.6,,6.2,5.7,4.8,4.1,6.0,5.9,6.9,5.4,,3431.9,3430.5,,1823.0,1821.0,,1608.9,1609.5,,66.0,66.0,,71.6,71.5,,60.7,60.7,1766.8,724.7,1042.1,5197.2,2545.6,2651.6
